,year,score,votes,budget,gross,runtime
0,1980,8.0,927000.0,19000000.0,46998772.0,146.0
1,1980,5.0,65000.0,4500000.0,58853106.0,104.0
2,1980,8.0,1200000.0,18000000.0,538375067.0,124.0
3,1980,7.0,221000.0,3500000.0,83453539.0,88.0
4,1980,7.0,108000.0,6000000.0,39846344.0,98.0
5,1980,6.0,123000.0,550000.0,39754601.0,95.0
6,1980,7.0,188000.0,27000000.0,115229890.0,133.0
7,1980,8.0,330000.0,18000000.0,23402427.0,129.0
8,1980,6.0,101000.0,54000000.0,108185706.0,127.0
9,1980,7.0,10000.0,10000000.0,15795189.0,100.0
10,1980,6.0,18000.0,15000000.0,70687344.0,116.0
11,1980,7.0,54000.0,5000000.0,30031783.0,109.0
12,1980,5.0,30000.0,20000000.0,49823037.0,114.0
13,1980,7.0,49000.0,6000000.0,54766923.0,124.0
14,1980,7.0,37000.0,6500000.0,31899000.0,104.0
15,1980,7.0,27000.0,5100000.0,9709597.0,103.0
16,1980,6.0,21000.0,,21202829.0,134.0
17,1980,6.0,29000.0,10000000.0,103300686.0,109.0
18,1980,6.0,66000.0,1000000.0,21448782.0,89.0
19,1980,6.0,26000.0,,101300000.0,111.0
20,1980,6.0,20000.0,11000000.0,19814523.0,102.0
21,1980,6.0,14000.0,44000000.0,3484523.0,219.0
22,1980,6.0,22000.0,12000000.0,16647800.0,103.0
23,1980,5.0,12000.0,20000000.0,22762571.0,96.0
24,1980,6.0,14000.0,,46918287.0,132.0
25,1980,6.0,33000.0,,19853892.0,102.0
26,1980,6.0,5100.0,,34326249.0,96.0
27,1980,5.0,4100.0,36000000.0,,115.0
28,1980,7.0,17000.0,9000000.0,37121708.0,131.0
29,1980,6.0,22000.0,4800000.0,22743674.0,117.0
30,1980,7.0,8900.0,,22482952.0,102.0
31,1980,5.0,16000.0,,14796236.0,92.0
32,1980,5.0,15000.0,,66132626.0,100.0
33,1980,6.0,604.0,5100000.0,534816.0,97.0
34,1980,6.0,9100.0,,43995918.0,102.0
35,1980,6.0,24000.0,10000000.0,69847348.0,109.0
36,1980,6.0,4300.0,4000000.0,10000000.0,91.0
37,1980,6.0,11000.0,3000000.0,6342668.0,101.0
38,1980,5.0,4000.0,,27118000.0,115.0
39,1980,7.0,17000.0,,67182787.0,124.0
40,1980,6.0,5700.0,,5000000.0,84.0
41,1980,7.0,13000.0,,,107.0
42,1980,7.0,9000.0,3500000.0,7063886.0,131.0
43,1980,6.0,11000.0,,6659377.0,99.0
44,1980,4.0,2000.0,,8415112.0,101.0
45,1980,6.0,12000.0,,41675194.0,99.0
46,1980,5.0,3900.0,22000000.0,15716828.0,109.0
47,1980,4.0,3900.0,300000.0,,82.0
48,1980,5.0,3100.0,15000000.0,14662035.0,94.0
49,1980,8.0,15000.0,35000000.0,,173.0
50,1980,7.0,22000.0,10000000.0,10389003.0,89.0
51,1980,6.0,4500.0,7000000.0,4309490.0,95.0
52,1980,4.0,3700.0,20000000.0,,124.0
53,1980,6.0,11000.0,6500000.0,24265659.0,116.0
54,1980,7.0,6700.0,,12516.0,139.0
55,1980,6.0,2900.0,,,91.0
56,1980,4.0,2600.0,20000000.0,3763988.0,121.0
57,1980,5.0,2400.0,6000000.0,6216067.0,103.0
58,1980,5.0,5200.0,4000000.0,18971000.0,103.0
59,1980,5.0,2400.0,11000000.0,,97.0
60,1980,5.0,5300.0,,18000000.0,100.0
61,1980,6.0,1900.0,,14287755.0,123.0
62,1980,5.0,875.0,,,91.0
63,1980,6.0,1400.0,,17815212.0,119.0
64,1980,7.0,2800.0,,3910019.0,103.0
65,1980,6.0,2000.0,,7653061.0,93.0
66,1980,8.0,12000.0,900000.0,,150.0
67,1980,5.0,2000.0,,10697276.0,100.0
68,1980,6.0,915.0,,9870727.0,86.0
69,1980,6.0,1500.0,,15934737.0,98.0
